Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
CCT8	624616108.000279	979368342.362074
IQGAP3	1290755166.3646	361618711.410127
ATXN2L	315459781.892674	702540283.859233
ANKRD17	2011076185.43119	404567410.407613
UBR5	704124865.858113	470245429.212826
ASPM	1212882905.56373	303810593.802496
POLR2B	323571022.918624	1109530208.39025
AP2B1	689994508.858318	2692230501.06059
UTP20	41282340.5967495	413025710.586659
CDK1	118444430.550752	4779769486.37884
TUBB3	31358507.5335559	11896418.9740711
ROS1	8176476.76283784	25537996.9607136
TENM3	2655428533.1339	168754087.157109
RARS1	180032603.97441	12193258720.2979
ANKHD1	825600807.651308	593810532.201161
RHOBTB3	3442160101.2198	111963883.128232
BUB1	8908661.20521763	2104175677.43413
H2BC5	0	14800492.421991
H2BC12	26578037.3252677	3000540.07881899
RPS29	376564424.527625	69436251.8800628
LMNA	676843109.421444	1115487887.47995
RPL13	40627192350.2594	4628145466.82509
MCM6	16349892849.4499	97655975.3661068
UBA1	2013846674.64189	151925434.955351
XPO5	3065981772.40295	176632506.922573
USP34	168054046.357103	494875363.677286
SND1	2565248049.0775	1681950057.70013
UBAP2L	159060800.354321	1650387455.8864
LDHA	6532711.95990965	1860484862.00428
MYH10	369844277.156209	18915969.0436618
CTNNA1	649993665.554683	6549878494.98598
HLA-F	7082303.48946495	29990147.3718207
DDX24	4519575482.08117	111764894.393454
VPS13C	145462625.91748	190465839.788035
RGPD8	21055501.6732743	233803901.34151
ZNFX1	233778577.368969	473581642.040128
VPS13A	702018044.40716	348282772.471485
MCM3	88172746.9568603	483224145.032217
H2BC3	0	9480580.55445536
HSPA8	91294455.0542179	1074681162.986
PRMT1	57310161.0584867	19594480808.8564
JAK1	243360563.41203	683482483.373189
FRMD6	1845183029.39074	623881463.770085
COL12A1	3685351448.13114	105894588.841507
CAPRIN1	294656650.416958	1320774772.85308
UGGT1	449011818.140891	115272385.262714
HEATR1	99065387.8255862	820395295.849535
FNDC3B	4490201943.89924	434553935.311844
IVNS1ABP	144236424.26731	1380726410.13751
CKAP5	323311398.614097	536832035.320985
AHCTF1	1254135355.50576	170549305.678372
EIF4A1	283653052.929907	1141924423.13464
TNPO1	395933547.982304	874624861.756955
DHX15	219398803.701649	456734507.597803
SMC4	827664889.558077	968135030.012038
MATR3	412865140.202609	929861234.25943
EIF4H	8581557003.37338	28372927.9001095
IMMT	186116732.391449	2050143218.5956
TRPC4AP	3926968177.00316	615666031.277095
TOP2B	205914405.708913	249897606.347029
ITPR1	241785736.961191	276317631.174121
CALU	53947845.0137079	25953633.4275494
MSH6	625460963.471775	324937526.947281
USP11	73923201.4081337	1584388607.68475
ATM	142942738.871319	910503000.230108
TPR	1127294495.19653	177603564.18192
FRYL	44114925.6999738	290333088.367725
RIF1	400180100.607022	774592443.440592
CNN3	903699705.393625	274747297.807552
BCLAF1	2023853778.39329	344103008.2547
NCAPD3	328607217.2868	1081979162.81002
TNS3	4126890611.20062	613534283.630434
PFN1	111868965.225202	273289074.529413
MTOR	259786938.481382	206217933.61488
HLA-H	0	0
WDR6	306112210.256752	5851037966.32699
FLII	406756985.688652	4765483780.07193
H2AC7	162570947.657629	290690572.858872
NCKAP1	138248324.029001	406219434.507793
KDM1A	548394559.082882	619256723.17899
H2BC26	359301765.216076	216743054.255785
EIF3D	649535941.270221	2072259614.33735
TMED9	24926694075.5121	7349992864.35256
ATP5PF	1060062572.62147	796196228.641129
NPM1	510062090.269249	58179263.771376
IFT172	634733900.1759	1071769282.66691
TSC2	928603666.534992	2203510506.3866
KDM5C	123162851.736976	110458091.605503
STIP1	118010634.570795	192561370.196419
MED14	124475813.941603	37836863.4872095
DDOST	731303057.795304	6116545396.57313
LRP1	231721899.793243	429332156.456772
HELZ2	665972858.489175	79929065.1434377
CUL4B	540451456.187847	596247001.20485
XRCC5	1272578638.80697	530226373.122843
AP1B1	13242361.1549667	172120486.711235
CCT2	5634717.87122605	9469613064.7576
PLK2	350219777.193693	1438421002.86119
RPN1	211574201.367319	145442031.417271
EXOC4	997329001.938023	432068134.354712
TCAF1	2526057584.98909	5941934988.94724
DOCK1	29317313.6474741	291813522.808891
PGK1	410500815.379231	348618245.405608
CABIN1	105806728.479747	438304237.966611
NONO	673797246.269211	401604073.19778
MAPK6	453697607.909062	737900749.139135
ACSL4	18732090265.649	2727419981.09148
SRRT	2823020595.3103	68713457.794025
LAMC1	1234922089.34086	307189882.875868
ITPR3	9924614.1306378	458101683.255672
NCAPG	272472016.9172	1946071656.03216
UPF1	569276364.563723	1036081015.79886
PPP2R1A	26838413.5572986	1324742601.40992
CIT	349992955.12666	1607919915.94496
DNMT1	2772948613.38512	2830040290.17521
SYMPK	942125670.798997	122548424.161692
GOLGB1	9992706.63197094	202141440.75443
MON2	68260877.3763258	469753217.832406
PRKAR1A	731369816.575705	315705777.88923
SEC31A	11214275.7955886	1075914869.92587
SACS	270575457.793112	49372469.0252265
DOCK10	147398837.398151	244302425.321831
DIAPH1	28897775.7785948	615663694.503766
STAG2	325418413.296676	43108800.9226999
VPS13D	34023360.3247272	362759653.127914
ARG1	13597699.3986443	77706224.6120312
CHD9	465112495.143018	799106550.392279
DYNC2H1	105262455.81667	123712580.555657
NCAPD2	38474085.1665294	876131763.189409
VIRMA	508562053.955965	348947576.062317
